127.0.0.1 - - [04/Apr/2019:00:49:36 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Apr/2019:00:49:49 +0800] "GET /Chapter3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:00:49:49 +0800] "GET /Chapter3/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:00:49:49 +0800] "GET /Chapter3/login.jsp HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [04/Apr/2019:00:49:50 +0800] "GET /css/images/WYU_logo_school1.png HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [04/Apr/2019:00:50:02 +0800] "POST /Chapter3/process_login.jsp HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [04/Apr/2019:00:50:02 +0800] "GET /Chapter3/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:00:50:02 +0800] "GET /Chapter3/images/bg.jpg HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [04/Apr/2019:00:50:02 +0800] "GET /Chapter3/images/sep.gif HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [04/Apr/2019:00:51:04 +0800] "GET /Chapter3/addinformation.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [04/Apr/2019:00:51:14 +0800] "POST /Chapter3/Process_addinformation.jsp HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [04/Apr/2019:00:51:14 +0800] "GET /Chapter3/images/bg.jpg HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [04/Apr/2019:00:51:14 +0800] "GET /Chapter3/images/sep.gif HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [04/Apr/2019:01:32:32 +0800] "GET /Chapter3/addinformation.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [04/Apr/2019:01:32:49 +0800] "POST /Chapter3/Process_addinformation.jsp HTTP/1.1" 500 2903
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:18:04 +0800] "GET /Chapter3/addinformation.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:33:11 +0800] "GET /Chapter3/addinformation.jsp HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:33:31 +0800] "POST /Chapter3/Process_addinformation.jsp HTTP/1.1" 500 2903
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:33:46 +0800] "GET /Chapter3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:33:46 +0800] "GET /Chapter3/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:33:46 +0800] "GET /Chapter3/login.jsp HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:33:47 +0800] "GET /css/images/WYU_logo_school1.png HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:34:01 +0800] "POST /Chapter3/process_login.jsp HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:34:01 +0800] "GET /css/images/WYU_logo_school1.png HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:35:23 +0800] "POST /Chapter3/process_login.jsp HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:35:23 +0800] "GET /css/images/WYU_logo_school1.png HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:35:33 +0800] "POST /Chapter3/process_login.jsp HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:35:33 +0800] "GET /Chapter3/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:35:33 +0800] "GET /Chapter3/images/sep.gif HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:35:33 +0800] "GET /Chapter3/images/bg.jpg HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:38:20 +0800] "GET /Chapter3/addinformation.jsp HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:38:27 +0800] "POST /Chapter3/Process_addinformation.jsp HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:38:28 +0800] "GET /Chapter3/images/bg.jpg HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [04/Apr/2019:11:38:28 +0800] "GET /Chapter3/images/sep.gif HTTP/1.1" 404 1105
